month_date,account_id,account_name,customer_id,customer_name,brand_name,impressions,clicks,platform_spend,actual_spend,ctr,cpm,cpc,in_app_total_payment,payment_24h,revenue_24h,roi_24h,mixed_revenue_24h,mixed_roi_24h,plays,play_cost,play_rate
2026-07-01,MJ-0430,漫剧品牌D-账号-0430,CUST-001,客户主体A,漫剧品牌D,23961,519,249.66342,249.61,0.02166019782145987,10.419574308250908,0.48104705202312137,0.0,0.0,236.14,0.9458333944155695,236.14,0.9458333944155695,5377,21.536995688034715,0.2244063269479571
2026-07-01,MJ-0520,漫剧品牌G-账号-0520,CUST-001,客户主体A,漫剧品牌G,14630,860,241.26771,241.15,0.05878332194121668,16.4912993848257,0.2805438488372093,0.0,0.0,249.29,1.0332505746417537,249.29,1.0332505746417537,3320,13.760647871196689,0.22693096377306904
2026-07-01,MJ-0298,漫剧品牌F-账号-0298,CUST-001,客户主体A,漫剧品牌F,32578,273,240.48821,240.37,0.008379888268156424,7.381920621278163,0.8809091941391942,0.0,0.0,237.63,0.9881149682971984,237.63,0.9881149682971984,7164,29.78940214990165,0.21990300202590704
2026-07-01,MJ-0280,漫剧品牌F-账号-0280,CUST-001,客户主体A,漫剧品牌F,29654,449,237.9581,237.86,0.015141296283806569,8.024485735482566,0.5299734966592428,0.0,0.0,237.1,0.996393902960227,237.1,0.996393902960227,6096,25.617955429968553,0.20557091792001078
2026-07-01,MJ-0481,漫剧品牌H-账号-0481,CUST-001,客户主体A,漫剧品牌H,28285,1119,232.08135,231.99,0.03956160509103765,8.205103411702314,0.20740067024128686,0.0,0.0,228.49,0.9845254691943149,228.49,0.9845254691943149,8043,34.65595145840026,0.2843556655471098
2026-07-01,MJ-0534,漫剧品牌F-账号-0534,CUST-001,客户主体A,漫剧品牌F,23188,783,229.68256,229.59,0.03376746593065379,9.905233741590477,0.29333660280970625,0.0,0.0,235.34,1.0246315610553975,235.34,1.0246315610553975,5123,22.304697404974938,0.22093324133172332
2026-07-01,MJ-0540,漫剧品牌F-账号-0540,CUST-001,客户主体A,漫剧品牌F,18293,426,228.34604,228.27,0.023287596348329963,12.4827004865249,0.5360235680751173,0.0,0.0,211.34,0.9255251371996642,211.34,0.9255251371996642,3618,15.844373740836495,0.19778057180342207
2026-07-01,MJ-0367,漫剧品牌C-账号-0367,CUST-001,客户主体A,漫剧品牌C,23924,479,228.00167,227.9,0.0200217354957365,9.530248704230061,0.4759951356993737,0.0,0.0,217.86,0.9555193170295639,217.86,0.9555193170295639,5004,21.947207667382436,0.20916234743353954
2026-07-01,MJ-0093,漫剧品牌D-账号-0093,CUST-001,客户主体A,漫剧品牌D,15360,1172,223.92205,223.8,0.07630208333333334,14.578258463541667,0.19105976962457338,0.0,0.0,255.36,1.1403968479209619,255.36,1.1403968479209619,3236,14.451457549624969,0.21067708333333332
2026-07-01,MJ-0076,漫剧品牌D-账号-0076,CUST-001,客户主体A,漫剧品牌D,40305,899,220.38431,220.31,0.022304924947277014,5.467914898895919,0.24514383759733036,0.0,0.0,219.55,0.9962142949287089,219.55,0.9962142949287089,5060,22.95989219922235,0.12554273663317206
